2020-09-18 15:04:38,b'RT @UKCovid19Stats: \xf0\x9f\x8f\xb4\xf3\xa0\x81\xa7\xf3\xa0\x81\xa2\xf3\xa0\x81\xb3\xf3\xa0\x81\xa3\xf3\xa0\x81\xb4\xf3\xa0\x81\xbf \xf3\xa0\x81\xbf\xf3\xa0\x81\xa7\xf3\xa0\x81\xa2\xf3\xa0\x81\xb7\xf3\xa0\x81\xacScotland Coronavirus (COVID-19) overview of individuals who have had at least one lab-confirmed positive t\xe2\x80\xa6'
2020-09-18 15:04:29,"b'RT @HaraldofW: \xf0\x9f\x87\xb8\xf0\x9f\x87\xaa Stockholm, previously the epicentre of #corona in Sweden, currently with only 2 ICU beds occupied due to #covid19. Down f\xe2\x80\xa6'"
2020-09-18 15:04:23,b'\xe0\xb0\x97\xe0\xb0\x82\xe0\xb0\x97\xe0\xb0\xbe \xe0\xb0\x9c\xe0\xb0\xb2\xe0\xb0\x82\xe0\xb0\xa4\xe0\xb1\x8b \xe0\xb0\x95\xe0\xb0\xb0\xe0\xb1\x8b\xe0\xb0\xa8\xe0\xb0\xbe \xe0\xb0\xa8\xe0\xb0\xbf\xe0\xb0\xb5\xe0\xb0\xbe\xe0\xb0\xb0\xe0\xb0\xa3  \xe0\xb0\x94\xe0\xb0\xb7\xe0\xb0\xa7\xe0\xb0\x82 | Corona Prevention Medicine with Ganga Water | Something Special\n#Corona Prevention\xe2\x80\xa6 https://t.co/NE4WMK8hJC'
2020-09-18 15:04:19,b'RT @RajCMO: The state government is taking all possible measures to prevent spread of #corona infection  :CM @ashokgehlot51 https://t.co/1n\xe2\x80\xa6'
2020-09-18 15:03:51,b'RT @LiaquatShahwani: #SBK women University #Quetta decides to suspend resumption of  classes till further order due to 5 #Corona cases repo\xe2\x80\xa6'
2020-09-18 15:03:38,b'Think we have all felt a little like this lately...\xf0\x9f\x98\x89\n#covid_19 #corona #keepsmiling #slowlybutsurely\xe2\x80\xa6 https://t.co/aznMXE84C4'
2020-09-18 15:03:23,b'20school/college going students came today at corona desk with symptoms of covid \nGovt. should reconsider this deci\xe2\x80\xa6 https://t.co/2xnWvTjeDY'
2020-09-18 15:02:50,b'Good decision by #SindhGovt to delay reopening of primary level schools\n#Corona strategy needs a serious revisit in\xe2\x80\xa6 https://t.co/hg4ZD0bhEi'
2020-09-18 15:01:54,b'RT @UKCovid19Stats: \xf0\x9f\x8f\xb4\xf3\xa0\x81\xa7\xf3\xa0\x81\xa2\xf3\xa0\x81\xb7\xf3\xa0\x81\xac\xf3\xa0\x81\xb3\xf3\xa0\x81\xbf\xf3\xa0\x81\xa7\xf3\xa0\x81\xa2\xf3\xa0\x81\xb7\xf3\xa0\x81\xac\xf3\xa0\x81\xb3\xf3\xa0\x81\xbf Wales Coronavirus (COVID-19) overview of deaths of people who have died within 28 days of a first positiv\xe2\x80\xa6'
2020-09-18 15:01:47,b'RT @LiaquatShahwani: #SBK women University #Quetta decides to suspend resumption of  classes till further order due to 5 #Corona cases repo\xe2\x80\xa6'
2020-09-18 15:01:43,"b""The Rule of Six. For 'tis it not written...? \n#coronavirus #Corona #coronavirusuk #COVID__19 #RuleOfSix https://t.co/cmkZMyqOF9"""
2020-09-18 15:01:05,b'Up to 91% of positive #coronavirusuk tests are false positives.\n\nPass it on!\n\n#Lockdown2 #dublinlockdown #coronavirus #Corona'
2020-09-18 14:59:49,b'Trump administration wrote controversial guidelines on corona testing\nhttps://t.co/UEgj7uMtOx\n#CDC #USA\xe2\x80\xa6 https://t.co/7rldIE66qT'
2020-09-18 14:57:44,b'RT @IrfanAB17: THE TRUTH! #Covid19 is #madeinChina #Wuhan\nhttps://t.co/rJkkvvNafe  \n\n#Tiongkok #Viral #Tiktok #AmazingChina #CCPvirus #RECE\xe2\x80\xa6'
2020-09-18 14:57:17,"b""RT @MJibranNasir: Pakistan reports over 700 #corona virus cases for first time in more than a month. Follow precautions, stay safe and don'\xe2\x80\xa6"""
2020-09-18 14:56:38,b'Covid Outbreak - Starbucks Cafe\xe2\x80\x99s Spread to customers but NOT Employees Who Wore Masks - Bloomberg (from August)\xe2\x80\xa6 https://t.co/GQbxrrJZxq'
2020-09-18 14:56:30,"b'RT @AAPExpress: 18 Sep\n\n#DelhiFightsCorona \n\n\xf0\x9f\x94\xb9 4,127 NEW #Corona cases \nTOTAL- 2,38,828 cases\n\n\xf0\x9f\x94\xb9 3568 Recovered today,\nTOTAL Recovered- 2,0\xe2\x80\xa6'"
2020-09-18 14:56:15,"b'RT @ChhayaPachauli: So, what two concrete steps do you really want your state govt. or the centre to take immediately in response to #COVID\xe2\x80\xa6'"
2020-09-18 14:54:50,b'BIOPREPAREDNESS requires consistent funding. #fastpharming #coronavirus #Corona #FridayThoughts #ibio201 #ibio100\xe2\x80\xa6 https://t.co/EZbxW9xasp'
2020-09-18 14:54:45,"b""This is what a lot of people don't understand about illness/disease... #COVID19 #coronavirus #coronavirusuk #Corona\xe2\x80\xa6 https://t.co/QutmqYdsgw"""
